stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M422,h0_w1_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.9674597138061376,57.391189863916786,12
Calendar + Context only Weather Search,M423,h0_w1_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",4.05837133854491,59.584571992750675,7
Calendar + Context only Weather Search,M424,h1_w0_none_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.8877226526066715,56.691291648517186,5
Calendar + Context only Weather Search,M425,h1_w0_integer_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.8942502364601776,56.61408699134368,6
Calendar + Context only Weather Search,M426,h1_w0_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.97309833590251,57.5614980274969,12
Calendar + Context only Weather Search,M427,h1_w0_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",4.005592345465684,58.70899784500839,7
Calendar + Context only Weather Search,M428,h1_w1_none_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.832267852636429,55.88872706589142,6
Calendar + Context only Weather Search,M429,h1_w1_integer_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.8483469622870867,55.98105320519692,7
Calendar + Context only Weather Search,M430,h1_w1_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.9196449738834045,56.63985312660182,13
Calendar + Context only Weather Search,M431,h1_w1_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_wind_speed_10m,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m')",3.9445775017590035,57.788060998134334,8
Calendar + Context only Weather Search,M432,h0_w0_none_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.9320210391439927,57.4049621869359,4
Calendar + Context only Weather Search,M433,h0_w0_integer_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.9316125139754896,57.052138248856764,5
