stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M475,h1_w0_cyclic_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9089958597338508,27.667356283962913,7
Calendar + Context only Weather Search,M476,h1_w1_none_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.7626561582036144,26.09785292003979,6
Calendar + Context only Weather Search,M477,h1_w1_integer_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.8419825134161334,26.61110624332342,7
Calendar + Context only Weather Search,M478,h1_w1_one_hot_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9246258985086118,27.500933073806923,13
Calendar + Context only Weather Search,M479,h1_w1_cyclic_ws_temperature_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.801218099326782,26.510605974121265,8
Calendar + Context only Weather Search,M480,h0_w0_none_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.1750935846343378,30.168287681444856,4
Calendar + Context only Weather Search,M481,h0_w0_integer_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.1963397511580856,29.79187772168886,5
Calendar + Context only Weather Search,M482,h0_w0_one_hot_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.0381399469236814,28.61220560478209,11
Calendar + Context only Weather Search,M483,h0_w0_cyclic_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.0050701200306653,28.639400588509584,6
Calendar + Context only Weather Search,M484,h0_w1_none_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.8484119493174074,26.87879708393988,5
Calendar + Context only Weather Search,M485,h0_w1_integer_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9867944514025515,27.85946787565758,6
