stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M634,h1_w0_one_hot_ws_temperature_2m_wind_speed_10m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')",3.7297086855255466,53.931736294187615,10
Calendar + Oracle Weather Search,M635,h1_w0_cyclic_ws_temperature_2m_wind_speed_10m,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')",3.813679006023183,55.55581105864475,5
Calendar + Oracle Weather Search,M636,h1_w1_none_ws_temperature_2m_wind_speed_10m,"('holiday', 'weekend', 'temperature_2m', 'wind_speed_10m')","('holiday', 'weekend', 'temperature_2m', 'wind_speed_10m')",3.5902660688973502,51.76607494794374,4
Calendar + Oracle Weather Search,M637,h1_w1_integer_ws_temperature_2m_wind_speed_10m,"('holiday', 'weekend', 'dow', 'temperature_2m', 'wind_speed_10m')","('holiday', 'weekend', 'dow', 'temperature_2m', 'wind_speed_10m')",3.6330980676447826,52.277404210586624,5
Calendar + Oracle Weather Search,M638,h1_w1_one_hot_ws_temperature_2m_wind_speed_10m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'wind_speed_10m')",3.6728034532810243,52.88604293827017,11
Calendar + Oracle Weather Search,M639,h1_w1_cyclic_ws_temperature_2m_wind_speed_10m,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'wind_speed_10m')",3.6847684207032216,53.409464268230735,6
Calendar + Oracle Weather Search,M640,h0_w0_none_ws_temperature_2m_cloud_cover_low,"('temperature_2m', 'cloud_cover_low')","('temperature_2m', 'cloud_cover_low')",3.783470681855647,55.128569904969304,2
Calendar + Oracle Weather Search,M641,h0_w0_integer_ws_temperature_2m_cloud_cover_low,"('dow', 'temperature_2m', 'cloud_cover_low')","('dow', 'temperature_2m', 'cloud_cover_low')",3.8119881018046775,54.70633690366435,3
Calendar + Oracle Weather Search,M642,h0_w0_one_hot_ws_temperature_2m_cloud_cover_low,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')",3.759787401312643,54.46081707285071,9
Calendar + Oracle Weather Search,M643,h0_w0_cyclic_ws_temperature_2m_cloud_cover_low,"('dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')","('dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')",3.8463164618706696,55.97464739352913,4
Calendar + Oracle Weather Search,M644,h0_w1_none_ws_temperature_2m_cloud_cover_low,"('weekend', 'temperature_2m', 'cloud_cover_low')","('weekend', 'temperature_2m', 'cloud_cover_low')",3.666518067799345,52.728386582376665,3
Calendar + Oracle Weather Search,M645,h0_w1_integer_ws_temperature_2m_cloud_cover_low,"('weekend', 'dow', 'temperature_2m', 'cloud_cover_low')","('weekend', 'dow', 'temperature_2m', 'cloud_cover_low')",3.7235283255034615,53.454707462920595,4
Calendar + Oracle Weather Search,M646,h0_w1_one_hot_ws_temperature_2m_cloud_cover_low,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')",3.704758352807224,53.392651790643676,10
Calendar + Oracle Weather Search,M647,h0_w1_cyclic_ws_temperature_2m_cloud_cover_low,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')",3.747459134457837,54.18052073994597,5
Calendar + Oracle Weather Search,M648,h1_w0_none_ws_temperature_2m_cloud_cover_low,"('holiday', 'temperature_2m', 'cloud_cover_low')","('holiday', 'temperature_2m', 'cloud_cover_low')",3.6549207529361074,53.026820111081946,3
Calendar + Oracle Weather Search,M649,h1_w0_integer_ws_temperature_2m_cloud_cover_low,"('holiday', 'dow', 'temperature_2m', 'cloud_cover_low')","('holiday', 'dow', 'temperature_2m', 'cloud_cover_low')",3.6902889590591923,53.23363282662709,4
